!
!     FILE NAME :  ZMAP_EXAMPLE_GID     
!     FORMATTED FILE CREATION DATE:  
!     FORMATTED FILE CREATION TIME: 
!
!     grid is arranged column by column  with positive y axis down and x axis to the right
!
@EXAMPLE_GRID HEADER                ,      GRID,         5
      15,  0.1000000E+31,            ,      7,      1
     486,    519,   134500.0    ,   255750.0    ,   1534000.    ,   1663500.   
    0.000000    ,   0.000000    ,   0.000000    
@
  -3326.672      -3328.565      -3330.418      -3332.229      -3334.006    
  -3335.753      -3337.470      -3339.173      -3340.854      -3342.519    
  -3344.167      -3345.808      -3347.433      -3349.055      -3350.672    
  -3352.291      -3353.905      -3355.520      -3357.137      -3358.751    
  -3360.368      -3361.985      -3363.609      -3365.237      -3366.869    
  -3368.508      -3370.150      -3371.800      -3373.455      -3375.119    
  -3376.788      -3378.460      -3380.138      -3381.822      -3383.511    
  -3385.208      -3386.908      -3388.615      -3390.328      -3392.050    
  -3393.777      -3395.513      -3397.256      -3399.007      -3400.766    
  -3402.530      -3404.303      -3406.088      -3407.881      -3409.681    
  -3411.496      -3413.322      -3415.158      -3417.001      -3418.858    
  -3420.723      -3422.603      -3424.498      -3426.407      -3428.327    
  -3430.261      -3432.210      -3434.171      -3436.144      -3438.131    
  -3440.131      -3442.143      -3444.170      -3446.211      -3448.263    
  -3450.327      -3452.405      -3454.493      -3456.591      -3458.693    
  -3460.804      -3462.917      -3465.030      -3467.145      -3469.261    
  -3471.369      -3473.467      -3475.559      -3477.637      -3479.699    
  -3481.745      -3483.770      -3485.767      -3487.738      -3489.679    
  -3491.589      -3493.470      -3495.319      -3497.140      -3498.939    
  -3500.719      -3502.486      -3504.244      -3506.002      -3507.762    
  -3509.526      -3511.302      -3513.085      -3514.880      -3516.674    
  -3518.459      -3520.222      -3521.940      -3523.608      -3525.210    
  -3526.742      -3528.208      -3529.611      -3530.971      -3532.299    
